#time [s]	Intensity	temperature [degree C])	Laser On
0	0.00	0	0
1	98.81	20	0
2	98.89	23	0
3	98.89	23	0
4	98.96	23	0
5	98.93	23	0
6	98.92	23	0
7	99.01	23	0
8	98.96	23	0
9	98.98	23	0
10	98.98	23	0
11	98.74	23	0
12	98.62	23	0
13	98.08	23	0
14	97.82	23	0
15	97.00	23	0
16	96.78	23	0
17	92.29	23	0
18	93.10	23	0
19	94.24	23	0
20	96.64	23	0
21	96.35	23	0
22	96.57	23	0
23	96.53	23	0
24	96.38	23	0
25	96.35	23	0
26	96.26	23	0
27	96.00	23	0
28	96.07	23	0
29	96.02	23	0
30	95.90	23	0
31	95.66	23	0
32	95.28	22	0
33	95.23	23	0
34	96.38	23	0
35	97.00	23	0
36	96.84	23	0
37	96.51	23	0
38	95.50	23	0
39	96.00	23	0
40	96.77	23	0
41	96.88	23	0
42	96.75	23	0
43	96.57	23	0
44	96.60	23	0
45	96.37	23	0
46	95.90	23	0
47	96.34	23	0
48	96.35	23	0
49	96.36	23	0
50	96.43	23	0
51	96.37	23	0
52	96.17	23	0
53	96.55	23	0
54	96.18	23	0
55	95.83	23	0
56	95.84	23	0
57	95.94	23	0
58	95.79	23	0
59	95.98	23	0
60	96.09	23	0
61	96.18	23	0
62	96.20	23	0
63	96.31	23	0
64	96.36	23	0
65	96.40	23	0
66	96.42	23	0
67	96.47	23	0
68	96.54	23	0
69	96.58	23	0
70	96.60	23	0
71	96.61	23	0
72	96.58	23	0
73	96.60	23	0
74	96.60	23	0
75	96.62	23	0
76	96.67	23	0
77	96.67	23	0
78	96.64	23	0
79	96.62	23	0
80	96.65	23	0
81	96.61	23	0
82	96.56	23	0
83	96.46	23	0
84	96.57	23	0
85	96.57	23	0
86	96.50	23	0
87	96.47	23	0
88	96.44	23	0
89	96.50	23	0
90	96.50	23	0
91	96.42	23	0
92	96.43	23	0
93	96.56	23	0
94	96.52	23	0
95	95.35	22	0
96	92.21	23	0
97	86.12	23	0
98	82.25	23	0
99	81.08	23	0
100	81.13	23	0
101	81.15	23	0
102	80.00	23	0
103	80.56	23	0
104	79.80	23	0
105	79.77	23	0
106	80.69	23	0
