Time [s]	Intensity A	Laser On	AcX	AcY	AcZ	GyX	GyY	GyZ	MPU Temp [C]
1.0	0.3333333333333333	True	0	0	0	0	0	0	25.823529411764707
2.0	0.0	True	0	0	0	0	0	0	25.823529411764707
3.0	0.16666666666666666	True	0	0	0	0	0	0	25.823529411764707
4.0	0.0	True	0	0	0	0	0	0	25.823529411764707
5.0	0.0	True	0	0	0	0	0	0	25.823529411764707
6.0	0.16666666666666666	True	0	0	0	0	0	0	25.823529411764707
7.0	0.0	True	0	0	0	0	0	0	25.823529411764707
8.0	0.16666666666666666	True	0	0	0	0	0	0	25.823529411764707
9.0	0.0	True	0	0	0	0	0	0	25.823529411764707
10.0	0.0	True	0	0	0	0	0	0	25.823529411764707
11.0	0.16666666666666666	True	0	0	0	0	0	0	25.823529411764707
12.0	0.0	True	0	0	0	0	0	0	25.823529411764707
13.0	0.16666666666666666	True	0	0	0	0	0	0	25.823529411764707
14.0	0.0	True	0	0	0	0	0	0	25.823529411764707
15.0	0.16666666666666666	True	0	0	0	0	0	0	25.823529411764707
15.1000	0.0	True	0	0	0	0	0	0	25.823529411764707
16.0	0.0	True	0	0	0	0	0	0	25.823529411764707
17.0	0.16666666666666666	True	0	0	0	0	0	0	25.823529411764707
18.0	0.0	True	0	0	0	0	0	0	25.823529411764707
19.0	0.16666666666666666	True	0	0	0	0	0	0	25.823529411764707
20.0	0.0	True	0	0	0	0	0	0	25.823529411764707
21.0	0.0	True	0	0	0	0	0	0	25.823529411764707
22.0	0.16666666666666666	True	0	0	0	0	0	0	25.823529411764707
23.0	0.0	True	0	0	0	0	0	0	25.823529411764707
24.0	0.16666666666666666	True	0	0	0	0	0	0	25.823529411764707
25.0	0.0	True	0	0	0	0	0	0	25.823529411764707
26.0	0.0	True	0	0	0	0	0	0	25.823529411764707
27.0	0.16666666666666666	True	0	0	0	0	0	0	25.823529411764707
28.0	0.0	True	0	0	0	0	0	0	25.823529411764707
29.0	0.16666666666666666	True	0	0	0	0	0	0	25.823529411764707
30.0	0.0	True	0	0	0	0	0	0	25.823529411764707
31.0	0.0	True	0	0	0	0	0	0	25.823529411764707
32.0	0.16666666666666666	True	0	0	0	0	0	0	25.823529411764707
33.0	0.0	True	0	0	0	0	0	0	25.823529411764707
34.0	0.16666666666666666	True	0	0	0	0	0	0	25.823529411764707
35.0	0.0	True	0	0	0	0	0	0	25.823529411764707
36.0	0.0	True	0	0	0	0	0	0	25.823529411764707
37.0	0.16666666666666666	True	0	0	0	0	0	0	25.823529411764707
38.0	0.0	True	0	0	0	0	0	0	25.823529411764707
39.0	0.16666666666666666	True	0	0	0	0	0	0	25.823529411764707
40.0	0.0	True	0	0	0	0	0	0	25.823529411764707
41.0	0.0	True	0	0	0	0	0	0	25.823529411764707
42.0	0.16666666666666666	True	0	0	0	0	0	0	25.823529411764707
43.0	0.0	True	0	0	0	0	0	0	25.823529411764707
44.0	0.16666666666666666	True	0	0	0	0	0	0	25.823529411764707
45.0	0.0	True	0	0	0	0	0	0	25.823529411764707
46.0	0.0	True	0	0	0	0	0	0	25.823529411764707
47.0	0.16666666666666666	True	0	0	0	0	0	0	25.823529411764707
48.0	0.0	True	0	0	0	0	0	0	25.823529411764707
49.0	0.16666666666666666	True	0	0	0	0	0	0	25.823529411764707
50.0	0.0	True	0	0	0	0	0	0	25.823529411764707
51.0	0.0	True	0	0	0	0	0	0	25.823529411764707
52.0	0.16666666666666666	True	0	0	0	0	0	0	25.823529411764707
53.0	0.0	True	0	0	0	0	0	0	25.823529411764707
54.0	0.0	True	0	0	0	0	0	0	25.823529411764707
55.0	0.16666666666666666	True	0	0	0	0	0	0	25.823529411764707
56.0	0.0	True	0	0	0	0	0	0	25.823529411764707
57.0	0.16666666666666666	True	0	0	0	0	0	0	25.823529411764707
58.0	0.0	True	0	0	0	0	0	0	25.823529411764707
59.0	0.0	True	0	0	0	0	0	0	25.823529411764707
60.0	0.16666666666666666	True	0	0	0	0	0	0	25.823529411764707
61.0	0.0	True	0	0	0	0	0	0	25.823529411764707
62.0	0.16666666666666666	True	0	0	0	0	0	0	25.823529411764707
