Time [s],Intensity A,Laser On,AcX,AcY,AcZ,GyX,GyY,GyZ,MPU Temp [C]
0.00,50.0,True,0,0,0,0,0,0,23.75294117647059
0.010,266.6666666666667,True,0,0,0,0,0,0,23.75294117647059
0.020,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.030,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.040,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.050,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.060,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.070,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.080,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.090,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.100,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.110,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.120,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.130,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.140,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.150,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.160,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.170,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.180,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.190,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.200,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.210,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.220,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.230,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.240,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.250,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.260,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.270,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.280,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.290,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.300,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.310,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.320,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.330,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.340,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.350,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.360,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.370,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.380,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.390,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.400,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.410,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.420,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.430,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.440,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.450,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.460,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.470,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.480,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.490,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.500,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.510,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.520,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.530,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.540,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.550,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.560,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.570,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.580,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.590,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.600,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.610,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.620,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.630,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.640,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.650,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.660,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.670,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.680,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.690,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.700,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.710,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.720,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.730,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.740,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.750,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.760,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.770,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.780,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.790,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.800,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.810,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.820,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.830,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.840,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.850,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.860,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.870,1150.0,True,0,0,0,0,0,0,23.75294117647059
0.880,1133.3333333333333,True,0,0,0,0,0,0,23.75294117647059
0.890,1150.0,True,0,0,0,0,0,0,23.75294117647059
