Time [s]	Intensity A	Laser On	AcX	AcY	AcZ	GyX	GyY	GyZ	Ard Temp [C])	MPU Temp [C]
1	0.0	False	1.03	-0.02	-0.09	0.12	-0.21	-0.09	19.71	21.09
2	0.0	False	1.03	-0.02	-0.09	-0.12	0.06	-0.08	22.88	21.0
3	0.0	False	1.03	-0.02	-0.09	-0.09	0.08	0.03	22.88	21.0
4	0.0	False	1.03	-0.02	-0.09	-0.11	-0.08	-0.23	22.88	21.0
5	0.0	False	1.03	-0.02	-0.09	0.0	0.03	0.29	22.88	21.09
6	0.0	False	1.03	-0.02	-0.09	0.11	-0.08	0.12	22.79	21.09
7	0.0	False	1.03	-0.02	-0.09	-0.05	-0.15	0.09	22.88	21.09
8	0.0	False	1.02	-0.02	-0.09	0.02	0.06	-0.05	22.88	21.09
9	0.0	False	1.03	-0.02	-0.09	-0.02	-0.03	0.09	22.79	21.09
10	0.0	False	1.02	-0.02	-0.09	0.03	-0.09	0.18	22.88	21.09
11	0.0	False	1.03	-0.02	-0.1	0.15	0.05	0.15	22.88	21.0
12	0.0	False	1.03	-0.02	-0.09	-0.18	-0.06	0.03	22.79	21.09
13	0.0	False	1.02	-0.02	-0.09	0.03	0.18	0.08	22.88	21.09
14	0.0	False	1.02	-0.02	-0.09	-0.06	0.02	-0.11	22.88	21.04
15	0.0	False	1.03	-0.02	-0.09	0.05	-0.15	0.47	22.88	21.09
16	0.0	False	1.03	-0.02	-0.09	-0.02	-0.12	-0.03	22.79	21.0
17	0.0	False	1.03	-0.02	-0.08	-0.21	0.03	0.03	22.88	21.14
18	0.0	False	1.03	-0.02	-0.09	-0.02	-0.08	-0.06	22.88	21.04
19	0.0	False	1.02	-0.02	-0.09	-0.09	0.02	-0.12	22.88	21.04
20	0.0	False	1.03	-0.02	-0.09	0.03	0.02	0.11	22.88	21.04
21	0.0	False	1.02	-0.02	-0.08	0.15	0.06	-0.08	22.79	21.09
